season,player,songs_submitted,total_points_received,rounds_won
1,Mashew,9,156,2
1,missmara,9,145,1
1,margs,9,143,2
1,Kristin,8,136,1
1,"Sasha Mariana",9,130,1
1,lorimariani,9,128,1
1,mmariani13,9,113,1
1,gregamariani,7,100,0
1,jellydru,8,89,0
2,lorimariani,10,233,4
2,Ronm,10,182,2
2,mmariani13,10,177,1
2,missmara,10,174,1
2,gregamariani,10,164,1
2,margs,10,154,0
2,"Sasha Mariana",10,154,0
2,Mashew,10,146,1
2,Kristin,10,115,1
2,jellydru,7,62,0
3,lorimariani,8,125,4
3,Ronm,8,94,2
3,"Sasha Mariana",8,84,1
3,Mashew,8,84,1
3,missmara,8,82,0
3,Kristin,8,82,0
3,margs,8,81,0
3,gregamariani,8,81,1
3,mmariani13,8,79,1
